Strategy,Total Return (%),Buy & Hold Return (%),Excess Return (%),Final Portfolio Value (£),Volatility (%),Sharpe Ratio,Max Drawdown (%),Number of Trades,Trades per Year,Time in Market (%),Trading Period (Years)
MACD (12/26/9),6525.82,5404.66,1121.16,3644202.35,38.75,1.06,-49.9,245,19.6,54.2,12.5
200-day SMA,4796.09,5404.66,-608.56,2692852.05,43.24,0.94,-52.02,54,4.3,72.4,12.5
