SMA,Buffer%,Ladder Step,Entry Ticker,Exit Ticker,Total Return %,Max Drawdown %
220,1,1.0,QQQ,QQQ,2456.08,-44.21
220,2,0.33,TQQQ,TQQQ,1397.86,-48.54
220,2,0.5,TQQQ,TQQQ,1541.69,-48.22
220,2,1.0,TQQQ,TQQQ,1820.75,-48.32
220,2,0.33,TQQQ,QQQ,621.19,-59.96
220,2,0.5,TQQQ,QQQ,610.03,-60.22
220,2,1.0,TQQQ,QQQ,733.19,-61.85
220,2,0.33,QQQ,TQQQ,1668.54,-48.86
220,2,0.5,QQQ,TQQQ,2124.05,-47.4
220,2,1.0,QQQ,TQQQ,2940.5,-44.21
220,2,0.33,QQQ,QQQ,933.18,-61.87
220,2,0.5,QQQ,QQQ,909.47,-60.5
220,2,1.0,QQQ,QQQ,1124.31,-60.14
