Date,LQQ3_Price,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount,Signal_Count,MACD_Bullish,SMA_Bullish,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2012-12-13,299.7279968261719,0.34,0.34,36300.0,62.38990083680811,55000.0,BUY,62.38990083680811,0.0,0.0,0.0,,0.0,55000.0,0.0
2012-12-14,290.92498779296875,0.34,0.33999999999999997,35937.51555197294,63.63587304007935,54450.781139352934,BUY,1.2459722032712435,0.0,0.0,0.0,-0.009985797466310342,-0.9985797466310342,53384.65040986156,-2.936999254797157
2012-12-17,302.8739929199219,1.0,1.0,0.0,182.29087938614953,55211.16651256698,BUY,118.65500634607017,1.0,1.0,0.0,0.01396463663703984,0.38393911375815826,55577.28936565308,1.049617028460137
2012-12-18,316.9289855957031,1.0,1.0,0.0,182.29087938614953,57773.26348720104,HOLD,0.0,1.0,1.0,0.0,0.04640541282624189,5.04229724945644,58156.37642242972,5.738866222599492
2012-12-19,311.84698486328125,1.0,1.0,0.0,182.29087938614953,56846.8611046468,HOLD,0.0,1.0,1.0,0.0,-0.016035140247174562,3.3579292811759975,57223.83077022858,4.043328673142876
2012-12-20,312.71600341796875,1.0,1.0,0.0,182.29087938614953,57005.27526118366,HOLD,0.0,1.0,1.0,0.0,0.002786682561861209,3.6459550203339353,57383.295421558876,4.333264402834325
2012-12-21,302.635986328125,0.34,0.34,36410.7348538881,61.97889899129085,55167.780081648634,SELL,120.31198039485868,0.0,0.0,0.0,-0.03223377435011221,0.30505469390660345,55533.61522547451,0.9702095008627509
2012-12-24,300.31500244140625,0.34,0.34,36315.79251681036,62.295041496013894,55023.92805577328,BUY,0.3161425047230466,0.0,0.0,0.0,-0.002607536965642865,0.04350555595140637,55107.715359191534,0.19584610762097832
2012-12-27,291.81298828125,0.34,0.34,35966.23452237198,63.49292510118596,54494.29473086665,BUY,1.1978836051720663,0.0,0.0,0.0,-0.009625509185199999,-0.9194641256970004,53547.598240470106,-2.640730471872532
2012-12-28,283.0530090332031,0.34,0.34,35599.14469622442,64.78981937339806,53938.09802458246,BUY,1.2968942722121,0.0,0.0,0.0,-0.010206512608908924,-1.9307308643955245,51940.14460335793,-5.563373448440134
2012-12-31,300.77099609375,0.34,0.34,36356.78851589103,62.270813786069255,55086.0432058955,SELL,2.519005587328806,0.0,0.0,0.0,0.021282641089603427,0.1564421925372761,55191.39006140312,0.34798192982385956
