Date,LQQ3_Price,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount,Signal_Count,MACD_Bullish,SMA_Bullish,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2012-12-13,299.7279968261719,0.33,0.33,36850.0,60.55490375337258,55000.0,BUY,60.55490375337258,0.0,0.0,0.0,,0.0,55000.0,0.0
2012-12-14,290.92498779296875,0.33,0.32999999999999996,36492.84620562039,61.78255283600748,54466.93463525432,BUY,1.2276490826349047,0.0,0.0,0.0,-0.009692097540830558,-0.9692097540830558,53384.65040986156,-2.936999254797157
2012-12-17,302.8739929199219,0.66,0.66,18769.759389788327,120.2989234394021,55205.17467584802,BUY,58.51637060339462,1.0,1.0,0.0,0.01355391203006806,0.3730448651782181,55577.28936565308,1.049617028460137
2012-12-18,316.9289855957031,0.66,0.66,19344.63155565568,118.48504022898253,56895.97516369319,SELL,1.8138832104195757,1.0,1.0,0.0,0.030627572465319775,3.4472275703512523,58156.37642242972,5.738866222599492
2012-12-19,311.84698486328125,0.66,0.66,19139.903594839278,119.1415415605768,56293.83410246846,BUY,0.6565013315942707,1.0,1.0,0.0,-0.010583192563135224,2.3524256408517408,57223.83077022858,4.043328673142876
2012-12-20,312.71600341796875,0.66,0.66,19175.10590632435,119.02897197315463,56397.370312718675,SELL,0.11256958742217194,1.0,1.0,0.0,0.001839210490828469,2.540673295852125,57383.295421558876,4.333264402834325
2012-12-21,302.635986328125,0.33,0.33000000000000007,36982.362681498635,60.18845868446977,55197.556241042745,SELL,58.84051328868485,0.0,0.0,0.0,-0.021274291071074036,0.35919316553225666,55533.61522547451,0.9702095008627509
2012-12-24,300.31500244140625,0.33,0.33,36888.76606484067,60.50012015957782,55057.85979826965,BUY,0.3116614751080462,0.0,0.0,0.0,-0.002530844701947532,0.10519963321755643,55107.715359191534,0.19584610762097832
2012-12-27,291.81298828125,0.33,0.32999999999999996,36544.136236387785,61.68111566797763,54543.48691998176,BUY,1.1809955083998105,0.0,0.0,0.0,-0.009342405973870704,-0.8300237818513412,53547.598240470106,-2.640730471872532
2012-12-28,283.0530090332031,0.33,0.33000000000000007,36182.11828991171,62.96009146022439,54003.1616267339,BUY,1.2789757922467615,0.0,0.0,0.0,-0.009906321061587953,-1.8124334059383629,51940.14460335793,-5.563373448440134
2012-12-31,300.77099609375,0.33,0.32999999999999996,36929.520767413196,60.47513617128916,55118.687712557,SELL,2.4849552889352324,0.0,0.0,0.0,0.02065668105755636,0.21579584101272253,55191.39006140312,0.34798192982385956
