,Cum. Return %,Ann. Return %,Exp. Ann. Return %,Daily Win rate %,Max Drawdown %,Calmar Ratio,Volatility %,Sharpe Ratio,Sortino Ratio,Mean Correlation,Mean DD Correlation
Golden Rotation 2x,84.56,237.37,35.85,76.52,9.25,25.67,29.59,4.27,6.94,0.0617530278,-0.0068019439
Pals Minor Spell of|c10f…,144.63,490.07,56.41,53.97,43.31,11.32,110.9,2.2,3.23,0.173552486,0.16466818500000002
Rain's Unified EM Le|0607…,51.71,128.66,23.17,57.94,13.89,9.26,28.15,3.08,5.53,0.0426653366,0.0593360541
(A) Sisyphus V0.1 (3|1df9…,22.3,49.11,10.59,58.73,6.8100000000000005,7.21,19.71,2.13,3.44,0.3212584106,0.2985543349
BT 1Nov16-22Nov22 AR|0b5e…,61.97,160.34,27.27,56.35,8.19,19.57,40.57,2.56,4.18,0.3413171708,0.34205736130000003
2017 BT TQQQ For The|8d50…,52.01,129.55,23.29,55.56,14.4,9,54.02,1.81,2.65,0.3807513954,0.38293321690000004
TQQQ For The Long Te|cd43…,27.24,61.29,12.8,57.94,22.97,2.67,46.1,1.27,1.74,0.4413432853,0.483349389
The Holy Grail,27.24,61.29,12.8,57.94,22.97,2.67,46.1,1.27,1.74,0.4413432853,0.483349389
KMLM switcher (singl|669c…,-18.49,-33.34,-9.72,51.59,26.96,-1.24,48.93,-0.58,-0.79,0.3094984699,0.3244016582
[VOXPORT] The Best S|757d…,16.31,34.95,7.84,57.14,13.35,2.62,27.25,1.24,1.7000000000000002,0.4742871953,0.5022789488
Mean,46.948,131.929,20.03,58.368,18.21,8.875,45.132,1.925,3.036,0.29877700630000004,0.3034126593
