,Cum. Return %,Ann. Return %,Exp. Ann. Return %,Daily Win rate %,Max Drawdown %,Calmar Ratio,Volatility %,Sharpe Ratio,Sortino Ratio,Mean Correlation,Mean DD Correlation
Flextiger-DefAI+eVTO|cbee…,517.27,2371.76,148.45,61.27,43.8,54.15,94.23,3.88,7.43,0.22033272780000002,0.21704973130000002
Golden Rotation 2x,62.84,136.14,27.61,71.21,10.04,13.56,26.06,3.43,5.33,0.0239337238,-0.0265064595
Nuclear Energy with|6cc9…,-1,-1.76,-0.5,51.75,44.82,-0.04,72.87,0.34,0.48,0.26357486420000004,0.2602770723
Pals Minor Spell of|c10f…,237.48,752.88,83.71,52.48,36.27,20.76,91.83,2.79,4.88,0.1422341524,0.1349361792
Rain's Unified EM Le|0607…,66.93,146.68,29.2,58.04,6.7,21.91,25.48,3.68,7.34,0.0515969971,0.0366459101
Simons KMLM FULL BUI|0577…,-12.12,-20.36,-6.25,50.7,46.42,-0.44,50.78,-0.19,-0.26,0.1145845617,0.1600770319
BT 1Nov16-22Nov22 AR|0b5e…,81.49,185.87,34.72,58.04,8.19,22.69,37.45,3,4.98,0.2591984116,0.2417941526
2017 BT TQQQ For The|8d50…,71.48,158.66,30.95,59.44,14.4,11.02,50.51,2.14,3.13,0.3056465218,0.2654391696
TQQQ For The Long Te|cd43…,44.49,91.28,20.2,59.44,22.97,3.9699999999999998,42.74,1.73,2.43,0.3258749092,0.3185079168
Mean,118.7622222222,424.5722222222,40.8988888889,58.0411111111,25.9566666667,16.397777777800002,54.6611111111,2.3111111111,3.9711111111,0.1896640966,0.1786911894
