,Cum. Return %,Ann. Return %,Exp. Ann. Return %,Daily Win rate %,Max Drawdown %,Calmar Ratio,Volatility %,Sharpe Ratio,Sortino Ratio,Mean Correlation,Mean DD Correlation
Golden Rotation 2x,406.61,53.58,38.34,68.45,20.12,2.66,23.1,1.97,3.03,0.0517257901,0.0899504705
Rain's Unified EM Le|0607…,9581.61,235.07,149.57,58.34,30.49,7.71,38.9,3.31,5.97,0.1708863105,0.08453215280000001
(A) Sisyphus V0.1 (3|1df9…,9924.2,238.17,151.31,63.66,7.25,32.83,26.23,4.78,12.03,0.3353125631,0.2330235339
BT 1Nov16-22Nov22 AR|0b5e…,7158.69,210.5,135.6,53.53,38.3,5.5,68.24,1.99,3.63,0.4731560951,0.3722104284
2017 BT TQQQ For The|8d50…,30843.77,355.59,214.86,55.42,43.4,8.19,71.56,2.47,4.5,0.4600856882,0.3654083114
TQQQ For The Long Te|cd43…,3961.48,166.31,109.77,56.8,51.03,3.26,65.65,1.82,2.92,0.5253290457,0.4539808818
The Holy Grail,7238.4,211.4,136.11,56.8,46.83,4.51,65.1,2.07,3.4,0.5168223332,0.4449866187
KMLM switcher (singl|669c…,30234.68,353.2,213.61,58.9,26.96,13.1,61.93,2.75,5.06,0.2910437286,0.19430817490000002
[VOXPORT] The Best S|757d…,1544.12,109.67,75.06,55.51,25.11,4.37,33.94,2.35,3.99,0.4701946842,0.4432506861
Mean,11210.3955555556,214.8322222222,136.0255555556,58.6011111111,32.1655555556,9.1255555556,50.5166666667,2.6122222221999998,4.9477777778,0.3660618043,0.29796125100000004
