,Cum. Return %,Ann. Return %,Exp. Ann. Return %,Daily Win rate %,Max Drawdown %,Calmar Ratio,Volatility %,Sharpe Ratio,Sortino Ratio,Mean Correlation,Mean DD Correlation
Flextiger-DefAI+eVTO|cbee…,26.17,133.73,12.33,59.42,33.37,4.01,102.08,1.33,2.11,0.2208510595,0.234791367
Golden Rotation 2x,20.38,96.89,9.72,81.67,9.25,10.48,33.01,2.22,3.2,0.070466682,0.0010897008000000001
Nuclear Energy with|6cc9…,-21.42,-58.53,-11.35,47.83,36.78,-1.5899999999999999,75.01,-0.8,-1.08,0.2922942345,0.3080396254
Pals Minor Spell of|c10f…,27.03,139.61,12.71,57.97,43.31,3.22,123.41,1.3900000000000001,1.8900000000000001,0.2577130831,0.2085716511
Rain's Concise EM Le|0df0…,17.21,78.57,8.26,60.87,16.02,4.91,34.99,1.83,2.63,0.0035341007000000003,-0.0208018806
Rain's Unified EM Le|0607…,14.11,61.92,6.82,56.52,13.89,4.46,26.28,1.96,3.08,0.1198376907,0.0540108533
Simons KMLM FULL BUI|0577…,-5.45,-18.51,-2.76,46.38,32.31,-0.5700000000000001,69.55,0.05,0.07,0.2260009436,0.1977164597
(A) Sisyphus V0.1 (3|1df9…,6.7,26.72,3.3,60.87,6.8100000000000005,3.92,21.25,1.22,1.98,0.28893257040000003,0.15427608410000002
TQQQ For The Long Te|cd43…,0.37,1.3599999999999999,0.18,56.52,22.97,0.06,48.72,0.27,0.36,0.34440556710000003,0.3449712185
BT 1Nov16-22Nov22 AR|0b5e…,26.27,134.43,12.37,57.97,7.27,18.48,40.02,2.33,3.55,0.2804765544,0.2153882296
2017 BT TQQQ For The|8d50…,23.97,119.21,11.34,55.07,14.32,8.33,53.33,1.74,2.61,0.2314389886,0.2021979872
FTL Starburst | Inte|e62e…,28.21,147.82,13.23,55.07,7.32,20.19,39.15,2.51,5.08,0.2880354052,0.19548725560000002
Gold Currency Hedge,16.66,75.54,8.01,60.87,30.68,2.46,82.42,1.15,1.3900000000000001,0.1302991856,0.1224362187
Growth Blend v2.2 RL|d3b8…,27.66,143.94,12.98,57.97,27.41,5.25,65.56,1.69,2.48,0.2296147526,0.2499031683
The Holy Grail,0.37,1.3599999999999999,0.18,56.52,22.97,0.06,48.72,0.27,0.36,0.34440556710000003,0.3449712185
KMLM switcher (singl|669c…,-10.19,-32.46,-5.23,49.28,17.63,-1.8399999999999999,54.44,-0.45,-0.66,0.2694418637,0.1972653729
V1a What Have I Done|7e7d…,10.06,41.92,4.91,62.69,26.56,1.58,65.87,0.86,1.21,0.33486519600000003,0.2954785754
SOXL Growth v2.4.5 R|48f5…,106.78,1319.96,43.8,56.06,31.47,41.94,98.94,3.18,5.33,0.2404119755,0.1714137701
FOMO NOMO - No Lever|99c5…,315.6,18076.98,103.86,77.94,6.82,2651.29,55.29,9.78,22.09,0.25149006900000004,0.1987022059
[VOXPORT] The Best S|757d…,3.1,11.81,1.54,56.52,13.38,0.88,26.5,0.55,0.78,0.3923415303,0.3748329522
Mean,31.6795,1025.1135,12.31,58.7005,21.027,138.876,58.227,1.654,2.923,0.24084285100000002,0.2025371017
