,Cum. Return %,Ann. Return %,Exp. Ann. Return %,Daily Win rate %,Max Drawdown %,Calmar Ratio,Volatility %,Sharpe Ratio,Sortino Ratio,Mean Correlation,Mean DD Correlation
Flextiger-DefAI+eVTO|cbee…,26.17,133.73,12.33,59.42,33.37,4.01,102.08,1.33,2.11,0.1617517292,0.1352157128
Golden Rotation 2x,20.38,96.89,9.72,81.67,9.25,10.48,33.01,2.22,3.2,0.11816571810000001,0.0072222601
Pals Minor Spell of|c10f…,27.03,139.61,12.71,57.97,43.31,3.22,123.41,1.3900000000000001,1.8900000000000001,0.2106736028,0.1063955182
Rain's Concise EM Le|0df0…,17.21,78.57,8.26,60.87,16.02,4.91,34.99,1.83,2.63,0.0762924106,0.0403026801
Rain's Unified EM Le|0607…,14.11,61.92,6.82,56.52,13.89,4.46,26.28,1.96,3.08,0.1951496962,0.1052585063
Simons KMLM FULL BUI|0577…,-5.45,-18.51,-2.76,46.38,32.31,-0.5700000000000001,69.55,0.05,0.07,0.2773944825,0.2515849323
(A) Sisyphus V0.1 (3|1df9…,6.7,26.72,3.3,60.87,6.8100000000000005,3.92,21.25,1.22,1.98,0.32750675690000003,0.1557443786
FTL Starburst | Inte|e62e…,28.21,147.82,13.23,55.07,7.32,20.19,39.15,2.51,5.08,0.3105794297,0.1489768363
Gold Currency Hedge,16.66,75.54,8.01,60.87,30.68,2.46,82.42,1.15,1.3900000000000001,0.0637327301,-0.0133846474
Growth Blend v2.2 RL|d3b8…,27.66,143.94,12.98,57.97,27.41,5.25,65.56,1.69,2.48,0.2058988088,0.21935602410000002
KMLM switcher (singl|669c…,-10.19,-32.46,-5.23,49.28,17.63,-1.8399999999999999,54.44,-0.45,-0.66,0.3143073313,0.1989514275
V1a What Have I Done|7e7d…,10.06,41.92,4.91,62.69,26.56,1.58,65.87,0.86,1.21,0.20393289850000001,0.1723138146
SOXL Growth v2.4.5 R|48f5…,106.78,1319.96,43.8,56.06,31.47,41.94,98.94,3.18,5.33,0.269239991,0.21810995060000002
FOMO NOMO - No Lever|99c5…,315.6,18076.98,103.86,77.94,6.82,2651.29,55.29,9.78,22.09,0.20928698950000002,0.0958593164
[VOXPORT] The Best S|757d…,3.13,11.93,1.55,56.52,13.35,0.89,26.5,0.56,0.78,0.2450764769,0.2252824021
Gold and Miner Frien|dc9f…,127.02,1897.01,50.67,73.44,20.89,90.81,81.74,4.05,12.36,0.0073830556000000006,-0.1096978849
Mean,45.6925,1387.598125,17.76,60.84625,21.068125,177.6875,61.28,2.083125,4.06375,0.1997732567,0.1223432017
