,Cum. Return %,Ann. Return %,Exp. Ann. Return %,Daily Win rate %,Max Drawdown %,Calmar Ratio,Volatility %,Sharpe Ratio,Sortino Ratio,Mean Correlation,Mean DD Correlation
Flextiger-DefAI+eVTO|cbee…,457.1,2150.78,136.03,60.14,43.8,49.11,95.5,3.74,7.16,0.1951946699,0.21891163760000001
Golden Rotation 2x,63.37,143.49,27.82,71.88,10.04,14.29,26.19,3.54,5.49,0.0341620364,-0.0048351918
Nuclear Energy with|6cc9…,-1.3,-2.34,-0.65,52.52,44.82,-0.05,73.55,0.33,0.47000000000000003,0.2690622807,0.2972637359
Pals Minor Spell of|c10f…,222.8,736.91,79.67,51.09,36.27,20.32,93.14,2.75,4.79,0.1217782247,0.11481717350000001
Rain's Concise EM Le|0df0…,98.12,245.39,40.75,61.59,8.1,30.28,28.67,4.48,7.88,0.089661085,0.06835197280000001
Rain's Unified EM Le|0607…,64.86,147.53,28.4,58.27,6.7,22.03,25.72,3.66,7.29,0.1573378951,0.1308624708
Simons KMLM FULL BUI|0577…,-5.67,-10.04,-2.88,51.45,46.42,-0.22,51.02,0.05,0.07,0.1059191808,0.14818655990000001
(A) Sisyphus V0.1 (3|1df9…,29.42,59.6,13.76,58.99,4.9,12.16,16.58,2.9,4.77,0.31321399850000003,0.2917781927
BT 1Nov16-22Nov22 AR|0b5e…,90.4,221.38,37.99,58.99,8.19,27.02,37.65,3.29,5.51,0.24559937140000002,0.22462919990000002
2017 BT TQQQ For The|8d50…,75.69,177.78,32.55,59.71,14.4,12.35,51.02,2.26,3.32,0.27484660240000003,0.2215969285
TQQQ For The Long Te|cd43…,49.16,106.45,22.13,60.43,22.97,4.63,43.06,1.9,2.67,0.31510672900000003,0.3111759833
Mean,103.9954545455,361.5390909091,37.7790909091,58.6418181818,22.4190909091,17.4472727273,49.2818181818,2.6272727273000003,4.4927272727,0.1928983703,0.183885333
