,Cum. Return %,Ann. Return %,Exp. Ann. Return %,Daily Win rate %,Max Drawdown %,Calmar Ratio,Volatility %,Sharpe Ratio,Sortino Ratio,Mean Correlation,Mean DD Correlation
Flextiger-DefAI+eVTO|cbee…,60.62,329.02,26.74,62.2,43.8,7.51,96.87,1.97,3.34,0.2231608861,0.19783306380000001
Golden Rotation 2x,44.75,211.6,20.31,84.51,9.25,22.88,27.77,4.24,7.14,0.0555376678,-0.00493986
Nuclear Energy with|6cc9…,-7.47,-21.23,-3.81,52.44,44.82,-0.47000000000000003,74.46,0.05,0.07,0.3244642291,0.32881855720000003
Pals Minor Spell of|c10f…,254.32,4779.53,88.23,60.98,36.27,131.78,96.41,4.53,8.91,0.29961556710000004,0.2704628559
Rain's Concise EM Le|0df0…,37.04,163.38,17.07,62.2,8.71,18.75,31.83,3.21,4.97,0.1201589138,0.1088258107
Rain's Unified EM Le|0607…,33.36,142.2,15.48,57.32,7.58,18.77,28.54,3.24,6.3,0.2083102839,0.1671599974
Simons KMLM FULL BUI|0577…,-12.93,-34.66,-6.69,46.91,35.51,-0.98,65.58,-0.33,-0.46,0.0980729391,0.19606435730000002
(A) Sisyphus V0.1 (3|1df9…,12.54,43.77,6.08,59.76,5.42,8.08,20.09,1.9100000000000001,3.07,0.33213114460000004,0.3100693176
BT 1Nov16-22Nov22 AR|0b5e…,51.52,258.64,23.1,60.98,8.19,31.57,41.52,3.29,5.42,0.2712805616,0.24855734570000002
2017 BT TQQQ For The|8d50…,47.29,228.7,21.36,58.54,14.4,15.88,59.16,2.31,3.41,0.23430739550000002,0.18536532900000002
TQQQ For The Long Te|cd43…,8.87,29.86,4.34,57.32,22.97,1.3,50.48,0.77,1.03,0.27368386570000003,0.30470744920000004
Blatant Tech Rulersh|8f3d…,212.38,3213.19,76.74,62.96,11.81,271.96,69.97,5.37,11.66,0.30736264620000003,0.2758507014
Mean,61.8575,778.6666666667,24.0791666667,60.51,20.7275,43.9191666667,55.2233333333,2.5466666667,4.5716666667,0.229007175,0.2157312438
