,Cum. Return %,Ann. Return %,Exp. Ann. Return %,Daily Win rate %,Max Drawdown %,Calmar Ratio,Volatility %,Sharpe Ratio,Sortino Ratio,Mean Correlation,Mean DD Correlation
Flextiger-DefAI+eVTO|cbee…,378.86,1265.14,118.83,60,43.8,28.89,95.92,3.2,5.76,0.2155910566,0.20075774770000002
Golden Rotation 2x,79.46,165.37,33.96,72.14,10.04,16.47,29.82,3.43,5.39,0.0742194221,0.009623585700000001
Nuclear Energy with|6cc9…,-5.74,-9.4,-2.91,50.99,44.82,-0.21,72.51,0.23,0.32,0.2721668276,0.2783017567
Pals Minor Spell of|c10f…,297.15,899.03,99.29,52.35,36.27,24.79,94.52,2.91,5.19,0.1456116936,0.0840842287
Rain's Concise EM Le|0df0…,72.11,147.46,31.19,60,16.02,9.21,30.16,3.16,5.01,0.07389257390000001,0.0244825755
Rain's Unified EM Le|0607…,47.64,91.59,21.51,56.29,13.89,6.59,26.89,2.55,4.42,0.1370962645,0.0843697675
Simons KMLM FULL BUI|0577…,-15.52,-24.54,-8.09,50,46.42,-0.53,57.27,-0.21,-0.29,0.1510422086,0.1881031351
(A) Sisyphus V0.1 (3|1df9…,23.76,42.73,11.25,58.28,6.8100000000000005,6.27,18.39,2.03,3.21,0.3323948456,0.30631728140000003
TQQQ For The Long Te|cd43…,49.56,95.77,22.29,60.26,22.97,4.17,43.02,1.78,2.48,0.3305853929,0.3608411413
BT 1Nov16-22Nov22 AR|0b5e…,87.72,186.07,37.01,56.95,8.19,22.71,37.7,2.98,5.01,0.25574962,0.2474362383
2017 BT TQQQ For The|8d50…,76.96,159.22,33.03,58.94,14.4,11.06,50.39,2.15,3.16,0.2801580997,0.258816894
Blatant Tech Rulersh|8f3d…,470.37,1727.82,138.82,63.58,28.8,59.99,76.8,4.19,7.36,0.3001712748,0.2956739956
Custom Exposures,50.62,98.1,22.73,48.34,53.65,1.83,81.63,1.23,2.13,0.2325170167,0.24116719050000002
FTL Starburst | Inte|e62e…,57.64,113.74,25.56,57.62,8.78,12.96,33.25,2.45,4.11,0.2821029607,0.2697618958
Gold Currency Hedge,159.69,391.67,61.15,62.25,28.35,13.81,55.52,3.16,4.76,0.1332318178,0.0656832905
Growth Blend v2.2 RL|d3b8…,144.99,346.12,56.52,59.6,27.41,12.63,58.85,2.84,4.55,0.1539170109,0.2038742989
The Holy Grail,49.56,95.77,22.29,60.26,22.97,4.17,43.02,1.78,2.48,0.3305853929,0.3608411413
KMLM switcher (singl|669c…,-7.64,-12.42,-3.89,56.29,26.96,-0.46,45.86,-0.06,-0.08,0.2649623876,0.2734123057
V1a What Have I Done|7e7d…,163.4,403.44,62.3,64.38,31.23,12.92,81.27,2.39,3.83,0.2919826774,0.2699991632
Mean,114.7678947368,325.4042105263,41.202105263199996,58.3431578947,25.8831578947,13.0142105263,54.3573684211,2.2205263158,3.6210526316,0.2241041339,0.2117656649
