ticker_1,weight_1,ticker_2,weight_2,ticker_3,weight_3,asset_type_2,asset_type_3,total_return,cagr,volatility,sharpe,sortino,dpr,max_drawdown,calmar
LQQ3.L,0.7,SGLN.L,0.2,CBSE.L,0.1,ETCs,ETFs,9072.293739624069,1.9633745914351608,5.9271292844146455,0.6515571627249838,11.517140001901407,5.855323424436931,0.6387477254122794,3.073787214142957
LQQ3.L,0.7,SGLN.L,0.2,UC84.L,0.1,ETCs,ETFs,157315.45853973,1.9447594004311157,5.957896738383093,0.6504384335831599,12.124630322852378,6.0846446259463525,0.6351980226991208,3.061658460722736
LQQ3.L,0.6,SGLN.L,0.3,CBSE.L,0.1,ETCs,ETFs,8126.343459702307,1.9247354537008463,5.9245663960991255,0.6457164539497402,13.18427013290032,6.633285879106873,0.5688571648737312,3.3835127208568756
LQQ3.L,0.7,SGLN.L,0.2,CAPS.L,0.1,ETCs,ETFs,344.618245499855,1.914605506949782,6.045902708049945,0.6539500439401875,11.394293613664532,5.517736827901152,0.6320402479269277,3.0292461804918727
LQQ3.L,0.6,SGLN.L,0.3,CAPS.L,0.1,ETCs,ETFs,342.34980093481795,1.9110951977139599,6.037914054998154,0.6495034961421657,13.022328469011606,6.346036223492909,0.5601110942917693,3.411993115634387
LQQ3.L,0.6,SGLN.L,0.3,UC84.L,0.1,ETCs,ETFs,138131.4577049996,1.9103967329773957,5.953704610234059,0.6452200105938741,13.892268248881493,6.908784015243274,0.5647273710916486,3.3828654865523786
LQQ3.L,0.7,SGLN.L,0.2,XBAG.L,0.1,ETCs,ETFs,166632.09370339804,1.899763352381599,5.896196027384145,0.64525500060578,12.070057123689695,6.027060324660621,0.6348489444552893,2.9924651666730373
LQQ3.L,0.5,SGLN.L,0.4,CAPS.L,0.1,ETCs,ETFs,331.10372515589734,1.893407311848227,6.0307161017888005,0.6449605932392307,15.193077236920452,7.395843810735811,0.47902743867935993,3.9526072182173917
LQQ3.L,0.5,SGLN.L,0.4,CBSE.L,0.1,ETCs,ETFs,7034.166209382147,1.8748519680507774,5.922680039471117,0.6397975990678112,15.380313821725435,7.609766001735867,0.4897354331975452,3.8282955264429805
LQQ3.L,0.7,SGLN.L,0.2,UC55.L,0.1,ETCs,ETFs,264199.09284614446,1.874081169899414,5.791959410463669,0.637733352189549,11.512698985814056,5.841184265267312,0.6384760171490268,2.935241292645115
LQQ3.L,0.5,SGLN.L,0.4,UC84.L,0.1,ETCs,ETFs,116279.49098623804,1.8655098673592683,5.9501400761322065,0.6399267299076797,16.19816300999488,7.936077032361378,0.48499155084415263,3.8464791069292916
LQQ3.L,0.6,SGLN.L,0.3,XBAG.L,0.1,ETCs,ETFs,144419.11365575026,1.863260876850278,5.892873932346305,0.6398355085235296,13.869584488478065,6.853960972980501,0.5643753553966684,3.3014568390228423
LQQ3.L,0.6,SGLN.L,0.3,UC55.L,0.1,ETCs,ETFs,218235.19062275835,1.8280020089038818,5.787194006353267,0.6316076256520693,13.15998775384764,6.581376670647653,0.5677723542567892,3.2196037640767594
LQQ3.L,0.5,SGLN.L,0.4,XBAG.L,0.1,ETCs,ETFs,119915.69047970374,1.816508439118584,5.890183799368455,0.6343418362453745,16.233447853208393,7.892161943800978,0.48463619712347766,3.748189775960474
LQQ3.L,0.5,SGLN.L,0.4,UC55.L,0.1,ETCs,ETFs,172485.5424085423,1.7722966673004348,5.783059594566963,0.625403556950786,15.316127709174198,7.505288397622883,0.4878484574768516,3.6328836140360865
LQQ3.L,0.7,SGLN.L,0.2,CW8G.L,0.1,ETCs,ETFs,335767.55728494073,1.7665778952469506,5.601599832773695,0.6245559798382695,11.056769877938844,5.5831283431668455,0.6379876211567066,2.768984595726243
LQQ3.L,0.7,SGLN.L,0.2,CEUR.L,0.1,ETCs,ETFs,315023.2368741454,1.752503762449995,5.662890544940634,0.6224709829449876,11.03736965034351,5.48740820154561,0.6360861158489198,2.7551360087636962
LQQ3.L,0.6,SGLN.L,0.3,CW8G.L,0.1,ETCs,ETFs,260875.69296913472,1.7112983254018483,5.598018443220704,0.617600930212909,12.598225959986413,6.235809689365793,0.56719973978479,3.0170999832460406
LQQ3.L,0.6,SGLN.L,0.3,CEUR.L,0.1,ETCs,ETFs,247440.20768915143,1.6998574134673263,5.65774774204405,0.6157594063150843,12.567138530569242,6.131888670596064,0.5652345076456298,3.0073489683914367
LQQ3.L,0.5,SGLN.L,0.4,CW8G.L,0.1,ETCs,ETFs,193736.88603536112,1.6475424285510987,5.59506949181344,0.6105679524700891,14.592083732174784,7.037435549253261,0.4871706339934885,3.38185907275585
LQQ3.L,0.5,SGLN.L,0.4,CEUR.L,0.1,ETCs,ETFs,185769.85379602647,1.6386660743878232,5.6532289350338285,0.6089683926100248,14.540210177431911,6.921015496876048,0.48493197415692285,3.3791668970410162
LQQ3.L,0.7,SGLN.L,0.2,UB99.L,0.1,ETCs,ETFs,28148.049498924996,1.5491924984607643,5.992647521896083,0.5764994457779439,11.213633245410582,5.028449642322258,0.6367330421742188,2.4330329916142226
LQQ3.L,0.6,SGLN.L,0.3,UB99.L,0.1,ETCs,ETFs,21692.859409330827,1.489257985511769,5.988696733849192,0.5694800617806132,12.825918394890017,5.600767768099411,0.5665620720826574,2.628587508580166
LQQ3.L,0.7,SGLN.L,0.2,UCRP.L,0.1,ETCs,ETFs,630.9257185115131,1.480299368705695,5.27384397759423,0.5923938911262883,9.367252524792075,4.438374389267362,0.6330656886765422,2.338302952100184
