Signal_Source,Strategy,Parameters,Total_Return_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Final_Value,Num_Trades,Trades_Per_Year,Time_in_Market_Pct,Win_Rate_Pct,Meets_Drawdown_Constraint
TQQQ,macd,"fast=12, slow=20, signal=9",8321.07,-54.96,1.13,4631591.05,265,21.15,52.61,28.79,False
TQQQ,macd,"fast=16, slow=26, signal=7",8228.38,-53.57,1.12,4580607.15,255,20.35,54.52,26.77,False
QQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.5",8124.83,-52.38,1.13,4523659.17,247,19.71,52.41,27.64,False
QQQ,weighted,"MACD=0.7, SMA=0.30000000000000004, threshold=0.4",8124.83,-52.38,1.13,4523659.17,247,19.71,52.41,27.64,False
QQQ,weighted,"MACD=0.7, SMA=0.30000000000000004, threshold=0.5",8124.83,-52.38,1.13,4523659.17,247,19.71,52.41,27.64,False
QQQ,weighted,"MACD=0.7, SMA=0.30000000000000004, threshold=0.6",8124.83,-52.38,1.13,4523659.17,247,19.71,52.41,27.64,False
QQQ,macd,"fast=12, slow=26, signal=9",8124.83,-52.38,1.13,4523659.17,247,19.71,52.41,27.64,False
QQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.4",8124.83,-52.38,1.13,4523659.17,247,19.71,52.41,27.64,False
QQQ,sma,period=250,8001.94,-53.32,1.01,4456067.23,62,4.95,85.21,41.94,False
TQQQ,macd,"fast=16, slow=32, signal=7",7967.48,-49.56,1.12,4437114.28,243,19.39,55.23,26.45,False
TQQQ,macd,"fast=12, slow=32, signal=9",7961.16,-53.01,1.12,4433639.7,253,20.19,54.87,26.98,False
QQQ,macd,"fast=16, slow=20, signal=9",7840.75,-52.38,1.12,4367415.01,231,18.43,52.35,28.7,False
TQQQ,sma,period=200,7761.42,-52.02,1.04,4323779.96,59,4.71,78.47,51.72,False
TQQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.4",7761.42,-52.02,1.04,4323779.96,59,4.71,78.47,51.72,False
TQQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.5",7761.42,-52.02,1.04,4323779.96,59,4.71,78.47,51.72,False
QQQ,macd,"fast=12, slow=20, signal=12",7756.13,-52.38,1.12,4320871.85,229,18.27,51.99,28.95,False
TQQQ,macd,"fast=16, slow=20, signal=9",7624.14,-55.14,1.11,4248274.85,247,19.71,54.06,27.64,False
TQQQ,multi,Default,7550.31,-36.51,1.15,4207667.94,212,16.92,62.71,51.89,False
TQQQ,macd,"fast=8, slow=32, signal=12",7517.59,-55.88,1.1,4189676.97,257,20.51,54.9,26.56,False
QQQ,macd,"fast=12, slow=32, signal=9",7399.81,-57.21,1.11,4124897.27,243,19.39,53.48,28.1,False
TQQQ,macd,"fast=12, slow=20, signal=12",7313.42,-55.02,1.1,4077379.18,241,19.23,53.77,27.5,False
TQQQ,sma,period=250,6562.6,-51.79,1.0,3664430.26,54,4.31,79.02,40.74,False
QQQ,macd,"fast=16, slow=32, signal=7",6325.36,-56.16,1.07,3533948.27,251,20.03,53.9,28.0,False
QQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.5",6292.14,-42.4,1.22,3515678.12,240,19.15,44.12,53.33,False
QQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.6",6292.14,-42.4,1.22,3515678.12,240,19.15,44.12,53.33,False
QQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.6",6292.14,-42.4,1.22,3515678.12,240,19.15,44.12,53.33,False
QQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.6",6292.14,-42.4,1.22,3515678.12,240,19.15,44.12,53.33,False
QQQ,and,Default,6292.14,-42.4,1.22,3515678.12,240,19.15,44.12,53.33,False
TQQQ,macd,"fast=16, slow=32, signal=9",6173.56,-56.86,1.06,3450457.93,229,18.27,55.65,28.07,False
TQQQ,variable,Default,5895.93,-52.35,1.04,3297761.38,78,6.22,90.03,43.59,False
TQQQ,macd,"fast=16, slow=26, signal=9",5640.25,-53.32,1.04,3157138.36,233,18.59,54.61,27.59,False
TQQQ,macd,"fast=12, slow=32, signal=12",5562.56,-56.95,1.04,3114408.35,223,17.8,55.29,27.93,False
TQQQ,macd,"fast=12, slow=26, signal=12",5483.33,-53.32,1.04,3070831.47,231,18.43,54.45,27.83,False
QQQ,macd,"fast=12, slow=26, signal=12",5382.74,-58.36,1.04,3015505.74,233,18.59,52.96,27.59,False
QQQ,macd,"fast=16, slow=26, signal=9",5048.44,-58.36,1.03,2831640.35,241,19.23,53.12,25.83,False
QQQ,macd,"fast=16, slow=32, signal=9",4960.71,-54.64,1.02,2783391.19,239,19.07,54.06,26.89,False
