total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,ticker_1,ticker_2,ticker_3,weight_1,weight_2,weight_3,asset_type_2,asset_type_3
1.7580484897757892e+16,21029.97067942656,34.659596007909705,1.8234008741751306,136.4444909854657,0.45245430438752887,46479.76707370278,LQQ3.L,3S3P.L,3SDO.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
1284588248477671.2,10482.2208465043,30.914076028378915,1.8520434147475604,122.07837632797137,0.5559606337460378,18854.250121767735,LQQ3.L,3S3P.L,3SAZ.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
75849224920114.25,6583.182255534755,32.76489816872835,1.7394213304322106,116.62398098075698,0.3820863435091305,17229.56700067832,LQQ3.L,3S1P.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
3659179829835.943,2202.739196476153,87.90927754985903,0.942128201601614,205.5337351197929,0.3514216826256733,6268.07993183068,LQQ3.L,3S3P.L,3SFE.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
21338987359649.684,3522.218663153506,28.210632151448607,1.7264057823665935,98.15316967865083,0.6543168459145873,5383.047502361397,LQQ3.L,3LUP.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
3488936204135.286,2174.9771084867357,42.55797116713177,1.3449277869631697,125.01317378478977,0.4142270061373676,5250.688816183706,LQQ3.L,3S3P.L,3SIE.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
1670455693586.7625,1787.7060499952597,26.260287810814194,1.6572306312570988,105.34765938084638,0.3624280363008109,4932.5821154505975,LQQ3.L,3S1E.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
1704408591762.364,1797.3092936813327,26.364283149837785,1.6628184121496303,106.18926741877482,0.37627825622606076,4776.543060733075,LQQ3.L,3S3P.L,3SFG.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
866239036397.9451,1500.920705367539,29.510019586364976,1.5936577373175058,118.78777915048806,0.3431464984849443,4373.99394134687,LQQ3.L,3S3P.L,3SME.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
1093292109072.9067,1596.9002241541666,31.85576189190058,1.5459067695192366,123.13062097229717,0.3945378433960349,4047.521044898111,LQQ3.L,3S3P.L,3SAE.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
220060782973.79242,1042.0139701523017,25.924877193120118,1.5957929625805547,104.27999738239906,0.2862335904219938,3640.4321680626717,LQQ3.L,3S2E.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
211560852205.6182,1031.1380792372856,25.91570384024819,1.5947993571470624,105.12575832593109,0.2939021638142118,3508.4399034541043,LQQ3.L,3S3E.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
217337942216.01083,1038.56410756495,26.030586115625805,1.601186925012468,105.99278384403998,0.2983986071512852,3480.458965542048,LQQ3.L,3S3P.L,3SFT.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
213618943864.44318,1033.80047966214,25.96001366689361,1.597487344901746,104.56709362935612,0.30831169088342253,3353.1017805388256,LQQ3.L,3S3P.L,3SGF.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
1217418838816.1155,1643.2873012133373,27.10424589390891,1.6370717650397304,91.68436912793138,0.6240961331976683,2633.0675897536175,LQQ3.L,3FNP.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
814219245412.7421,1476.3717219624452,27.287325868004434,1.6314262889993272,85.53872066774994,0.6229012933861063,2370.153566284721,LQQ3.L,3GMP.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
57274328537.7635,728.0052330458567,25.667024315302164,1.5460755265550317,93.78389304700931,0.3305283929726327,2202.549761303364,LQQ3.L,3LBA.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
122291483429.77113,979.5284974641843,25.56052498253893,1.5653342974489732,102.38883847404395,0.45046574660764693,2174.4794245528906,LQQ3.L,3S1P.L,3SDO.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
27450987338.915573,598.427482836878,25.66858236470499,1.5373863697897914,97.36320736675677,0.32207761910867955,1858.0225614340154,LQQ3.L,3S3P.L,3SAL.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
42719017951.4105,673.2878928368439,25.671064276042305,1.543254613012614,91.5363044413789,0.36740901313610685,1832.5296026078272,LQQ3.L,3LBP.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
27645596035.68583,599.5553679263911,25.66789414577838,1.5372972017157198,99.3525291416292,0.336767203822697,1780.3258782943967,LQQ3.L,3S3P.L,3SMP.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
42676988584.299255,673.1112954124367,25.672787969106313,1.543682942341974,89.06299883850501,0.3920143099999513,1717.0579701861402,LQQ3.L,3LGL.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
45509212970.95883,684.7366643124126,25.669307592260708,1.5437479431978354,93.36652679779517,0.41794706640364093,1638.3334621880422,LQQ3.L,3LAZ.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
226367948089.15195,1049.8865217494736,25.781881467759995,1.5863901335649626,88.88003334120864,0.6611597516335536,1587.9468149043819,LQQ3.L,3LPE.L,3S3P.L,0.66,0.16999999999999998,0.16999999999999998,ETNs,ETNs
