date,portfolio_value,cash,signal,action
2024-07-01,93868.69244519848,851.5000000000136,NUCLEAR_PORTFOLIO,BUY
2024-07-02,94110.91681743937,984.424005616797,NUCLEAR_PORTFOLIO,BUY
2024-07-03,96777.43876075881,953.9964319889627,NUCLEAR_PORTFOLIO,BUY
2024-07-05,92301.58317730541,4713.1277250094745,NUCLEAR_PORTFOLIO,BUY
2024-07-08,93925.57479192219,89256.32676458367,UVXY_BTAL_PORTFOLIO,BUY
2024-07-09,93215.96218190738,4662.244093185698,NUCLEAR_PORTFOLIO,BUY
2024-07-10,93360.01912367932,88847.33469860055,UVXY,BUY
2024-07-11,95317.86406275016,1502.3117743271432,UVXY,BUY
2024-07-12,92670.85063459011,2621.842532962815,UVXY,BUY
2024-07-15,95216.51002181211,918.147827871577,UVXY,BUY
2024-07-16,96221.94525296133,944.6898242768062,UVXY,BUY
2024-07-17,100987.42477517317,1001.4868091669553,UVXY,BUY
2024-07-18,105446.5746924702,978.8132223054129,UVXY,BUY
2024-07-19,112042.70419719726,1077.0475818307264,UVXY,BUY
2024-07-22,108930.82232673634,108008.51840187838,TQQQ,BUY
2024-07-23,111403.89464879013,926.1249821613324,NUCLEAR_PORTFOLIO,BUY
2024-07-24,105209.33613790984,6417.986972316346,NUCLEAR_PORTFOLIO,BUY
2024-07-25,104667.94535152406,98622.49135723544,TQQQ,BUY
2024-07-26,104814.6239634489,901.9712316564255,TQQQ,BUY
2024-07-29,105423.14051940042,1066.8990894491137,TQQQ,BUY
2024-07-30,101331.82972154862,4291.631732535998,TQQQ,BUY
2024-07-31,109874.02087738294,1073.2532972692857,TQQQ,BUY
2024-08-01,109983.48022748619,109114.88609343498,NUCLEAR_PORTFOLIO,BUY
2024-08-02,110575.09286899278,3913.342956345935,NUCLEAR_PORTFOLIO,BUY
2024-08-05,102252.12126898086,26126.13101389259,NUCLEAR_PORTFOLIO,BUY
2024-08-06,103993.81457500558,77623.68733182289,TQQQ,BUY
2024-08-07,97204.06334113683,937.6042565101379,TQQQ,BUY
2024-08-08,106014.42508103323,1012.8304741035398,TQQQ,BUY
2024-08-09,104697.49538294667,103724.50035005825,NUCLEAR_PORTFOLIO,BUY
2024-08-12,103622.36856134362,995.1661052521085,NUCLEAR_PORTFOLIO,BUY
2024-08-13,105036.17097109024,1041.4602145909687,NUCLEAR_PORTFOLIO,BUY
2024-08-14,104061.19582101027,1048.2688755726988,NUCLEAR_PORTFOLIO,BUY
2024-08-15,105077.41421199517,1045.3431038746362,NUCLEAR_PORTFOLIO,BUY
2024-08-16,104914.65894075492,1048.9777014245701,NUCLEAR_PORTFOLIO,BUY
2024-08-19,105888.53861425455,1049.5239692258642,NUCLEAR_PORTFOLIO,BUY
2024-08-20,105671.34154906277,104737.10151220007,UVXY,BUY
2024-08-21,107923.86852293166,901.1361518199701,UVXY,BUY
2024-08-22,115197.04930649813,1068.0579556306577,UVXY,BUY
2024-08-23,105496.00548785899,9772.475384036292,UVXY,BUY
2024-08-26,105346.90809867231,1031.8233237470213,UVXY,BUY
2024-08-27,102213.40041470827,3288.730804057826,UVXY,BUY
2024-08-28,110666.65325054935,1022.7669402301435,UVXY,BUY
2024-08-29,105233.20079755694,5238.042432373294,UVXY,BUY
2024-08-30,101086.96390642771,4155.669230558138,UVXY,BUY
2024-09-03,130613.88521846308,1035.9469385399202,UVXY,BUY
2024-09-04,135397.96326931193,134549.77553465855,TQQQ,BUY
2024-09-05,128439.12794055093,2515.0883045415308,UVXY,BUY
2024-09-06,124520.29458923805,122365.60125184433,TQQQ,BUY
2024-09-09,125535.46321420162,1064.1206165615731,TQQQ,BUY
2024-09-10,128880.14680304113,1269.155123513311,TQQQ,BUY
2024-09-11,129637.3503803085,128427.18091109792,NUCLEAR_PORTFOLIO,BUY
2024-09-12,130950.19205571435,1105.6735259026282,NUCLEAR_PORTFOLIO,BUY
2024-09-13,133515.3063321315,1315.9592752104038,NUCLEAR_PORTFOLIO,BUY
2024-09-16,133805.01670237628,1676.7387746540753,NUCLEAR_PORTFOLIO,BUY
2024-09-17,132119.30833500216,1686.253451958225,NUCLEAR_PORTFOLIO,BUY
2024-09-18,130790.7018113836,1355.458485125883,NUCLEAR_PORTFOLIO,BUY
2024-09-19,131708.61695611518,1318.1492711898086,NUCLEAR_PORTFOLIO,BUY
2024-09-20,137630.30422116668,1341.0736515826356,NUCLEAR_PORTFOLIO,BUY
2024-09-23,137929.4413031177,136771.7135962639,UVXY,BUY
2024-09-24,139174.45260299323,1176.0928805899748,UVXY,BUY
2024-09-25,141798.60458545038,1403.0785689824988,UVXY,BUY
2024-09-26,141915.14232463902,1405.1614477162975,UVXY,BUY
2024-09-27,151763.1999602986,1419.712364552489,UVXY,BUY
