date,symbol,shares,price,trade_value,costs,execution_type,scaling_applied
2024-07-01,NLR,263.0885677421421,79.88292136894283,21016.283370013327,31.52442505501999,market_open,True
2024-07-01,SMR,586.55040571182,11.760000228881836,6897.8329054217365,10.346749358132605,market_open,True
2024-07-01,OKLO,8208.531752550518,8.65999984741211,71085.88372456493,106.6288255868474,market_open,True
2024-07-02,NLR,-12.394205995182318,79.54543435532358,-985.902499376133,1.4788537490641995,market_open,True
2024-07-02,SMR,12.800561524514706,11.055000305175781,141.51021155993143,0.21226531733989715,market_open,True
2024-07-02,OKLO,88.58033226761839,8.0,708.6426581409471,1.1348649817815313,market_open,True
2024-07-03,NLR,0.6474232290373436,80.2700267053663,51.96867988450206,0.0779530198267531,market_open,True
2024-07-03,SMR,1.4728343457428537,11.180000305175781,16.466288434878475,0.024699432652317714,market_open,True
2024-07-03,OKLO,-4.700617827320457,8.149999618530273,-38.310033499518326,0.05746505024927749,market_open,True
2024-07-05,NLR,-8.27408888134724,81.44127121784948,-673.8523166663933,1.01077847499959,market_open,False
2024-07-05,SMR,-40.63230938059837,11.989999771118164,-487.1813801733769,0.7307720702600654,market_open,False
2024-07-05,OKLO,-312.55511924759685,8.329999923706055,-2603.584119486419,3.9053761792296284,market_open,False
2024-07-08,BTAL,249.08465802458545,18.784205482482538,4678.857398867706,34.25208403847197,market_open,False
2024-07-08,SMR,-560.1914922014792,12.859999656677246,-7204.062397384536,10.806093596076805,market_open,False
2024-07-08,OKLO,-7979.856347743219,7.820000171661377,-62402.4780091851,93.60371701377765,market_open,False
2024-07-08,NLR,-243.0676960946499,81.39163704377927,-19783.677697603387,29.67551654640508,market_open,False
2024-07-09,NLR,503.92523230469664,80.94497680167335,40790.216238681525,61.18532435802229,market_open,True
2024-07-09,SMR,979.511658934967,13.100000381469727,12831.603105702114,19.247404658553172,market_open,True
2024-07-09,BWXT,375.23572782899134,94.59342924116797,35494.834269149855,59.0464344666916,market_open,True
2024-07-09,BTAL,-249.08465802458545,18.745553720603066,-4669.22983797791,7.003844756966866,market_open,True
2024-07-10,NLR,-503.92523230469664,81.29238003860998,-40965.281495558214,61.447922243337324,market_open,True
2024-07-10,UVXY,209.98303655088733,21.540000915527344,4523.034799551325,139.1911936696189,market_open,True
2024-07-10,SMR,-979.511658934967,13.260000228881836,-12988.32482167009,19.482487232505136,market_open,True
2024-07-10,BWXT,-375.23572782899134,93.5828031122856,-35115.611238115685,52.67341685717353,market_open,True
2024-07-11,UVXY,4139.442208478892,21.09000015258789,87300.83680844858,130.9512552126729,market_open,False
2024-07-12,UVXY,-53.23420012385577,21.079999923706055,-1122.1769345494324,1.6832654018241486,market_open,False
2024-07-15,UVXY,81.70584972990218,20.84000015258789,1702.7499208384847,2.554124881257727,market_open,True
2024-07-16,UVXY,-1.2438982660796682,21.389999389648438,-26.606983152228853,0.03991047472834328,market_open,True
2024-07-17,UVXY,-2.509301413375397,22.690000534057617,-56.93605040959929,0.08540407561439893,market_open,True
2024-07-18,UVXY,1.022147817959194,22.170000076293945,22.66101720213902,0.033991525803208536,market_open,True
2024-07-19,UVXY,-4.032550481789258,24.420000076293945,-98.47488307295286,0.1477123246094293,market_open,True
2024-07-22,UVXY,-4371.13329229254,24.770000457763672,-108272.97365103225,162.4094604765484,market_open,False
2024-07-22,TQQQ,12.602156650394432,72.75155985422961,916.8265538435483,161.23861596592704,market_open,False
2024-07-23,SMR,802.9133317375904,11.180000305175781,8976.571293855965,13.464856940783948,market_open,True
2024-07-23,TQQQ,-12.602156650394432,72.83058467147345,-917.8224369697239,1.376733655454586,market_open,True
2024-07-23,LEU,206.48123923741574,43.189998626708984,8917.924439105154,13.376886658657732,market_open,True
2024-07-23,OKLO,9993.740814750645,9.010000228881836,90043.60702828906,135.0654105424336,market_open,True
2024-07-24,SMR,-52.18266765541796,11.270000457763672,-588.0986883638899,0.8821480325458348,market_open,False
2024-07-24,LEU,-5.195615029166163,43.86000061035156,-227.87967835037966,0.3418195175255695,market_open,False
2024-07-24,OKLO,-511.3773411442926,9.170000076293945,-4689.330257308158,7.033995385962237,market_open,False
2024-07-25,SMR,-750.7306640821724,10.489999771118164,-7875.164494393376,11.812746741590065,market_open,False
2024-07-25,TQQQ,96.82147601423489,64.76023824892476,6270.181854294406,153.86878526992382,market_open,False
2024-07-25,LEU,-201.28562420824957,42.189998626708984,-8492.24020892231,12.738360313383467,market_open,False
2024-07-25,OKLO,-9482.363473606352,8.699999809265137,-82496.56041175796,123.74484061763695,market_open,False
2024-07-26,TQQQ,1521.1149880132132,64.20707639218276,97666.34623665853,146.4995193549878,market_open,True
2024-07-29,TQQQ,-2.5256273935347053,65.46157737780261,-165.33155304937003,0.24799732957405504,market_open,True
2024-07-30,TQQQ,-49.37443756973016,65.47145635603097,-3232.6163344501642,4.8489245016752465,market_open,False
2024-07-31,TQQQ,48.616076337471895,66.16293017435754,3216.5820640673887,4.824873096101083,market_open,True
2024-08-01,SMR,102.96341767668576,10.3100004196167,1061.5528794517998,12.714560440518357,market_open,False
2024-08-01,TQQQ,-1614.652475401655,67.7434010254526,-109382.05015787405,164.0730752368111,market_open,False
2024-08-02,SMR,891.353395400404,8.15999984741211,7273.443570457563,10.910165355686344,market_open,False
2024-08-02,LEU,225.77157039404167,39.45000076293945,8906.688624294982,13.360032936442474,market_open,False
2024-08-02,OKLO,10960.44508559756,8.119999885559082,88998.81284072879,133.4982192610932,market_open,False
2024-08-05,SMR,-188.41517685429244,7.320000171661377,-1379.1991269170294,2.068798690375544,market_open,False
