date,portfolio_value,cash,signal,action
2024-07-01,93868.69169365204,851.5,NUCLEAR_PORTFOLIO,BUY
2024-07-02,94110.19435099853,984.4236456270688,NUCLEAR_PORTFOLIO,BUY
2024-07-03,96777.22203902616,954.1385933044783,NUCLEAR_PORTFOLIO,BUY
2024-07-05,92301.37437581902,4713.1094829061785,NUCLEAR_PORTFOLIO,BUY
2024-07-08,93925.36267719953,89256.13277701676,UVXY_BTAL_PORTFOLIO,BUY
2024-07-09,93165.69744063391,4662.225993220944,NUCLEAR_PORTFOLIO,BUY
2024-07-10,93448.14913642824,88935.61372901098,UVXY,BUY
2024-07-11,95407.91736921227,1503.8256653497228,UVXY,BUY
2024-07-12,92758.40548998342,2624.319334497331,UVXY,BUY
2024-07-15,95306.4699990768,919.0152887775887,UVXY,BUY
2024-07-16,96312.85515929734,945.5823614550892,UVXY,BUY
2024-07-17,101082.83707746335,1002.433007789074,UVXY,BUY
2024-07-18,105546.19997237429,979.7379990611319,UVXY,BUY
2024-07-19,112148.56145998092,1078.0651698094753,UVXY,BUY
2024-07-22,109033.73946797462,108110.56419055571,TQQQ,BUY
2024-07-23,111509.14823550511,926.9999784779357,NUCLEAR_PORTFOLIO,BUY
2024-07-24,105308.73715094858,6424.05063956433,NUCLEAR_PORTFOLIO,BUY
2024-07-25,104766.83487156245,98715.66916740104,TQQQ,BUY
2024-07-26,104913.65244454023,902.8234113875224,TQQQ,BUY
2024-07-29,105522.73157952845,1067.9069671073185,TQQQ,BUY
2024-07-30,101427.56703408225,4295.674377055808,TQQQ,BUY
2024-07-31,109977.84155103161,1074.2674398923182,TQQQ,BUY
2024-08-01,110155.97378232217,109217.97708263724,NUCLEAR_PORTFOLIO,BUY
2024-08-02,110677.49655982971,3881.2636296026903,NUCLEAR_PORTFOLIO,BUY
2024-08-05,102344.0922227197,26182.712578406634,NUCLEAR_PORTFOLIO,BUY
2024-08-06,104087.84816146104,77660.41253323601,TQQQ,BUY
2024-08-07,97293.47531596493,938.5181510372931,TQQQ,BUY
2024-08-08,106111.94658187561,1013.7622420588679,TQQQ,BUY
2024-08-09,104926.61408167546,103819.91529894697,NUCLEAR_PORTFOLIO,BUY
2024-08-12,103853.04601914813,895.3851638553606,NUCLEAR_PORTFOLIO,BUY
2024-08-13,105271.83941589727,1043.848942782361,NUCLEAR_PORTFOLIO,BUY
2024-08-14,104294.66807809327,1050.6207191971062,NUCLEAR_PORTFOLIO,BUY
2024-08-15,105313.17213107768,1047.688489414588,NUCLEAR_PORTFOLIO,BUY
2024-08-16,105150.0516835522,1051.3312478441235,NUCLEAR_PORTFOLIO,BUY
2024-08-19,106126.11573161733,1051.878744331732,NUCLEAR_PORTFOLIO,BUY
2024-08-20,105908.4314119735,104972.09525685453,UVXY,BUY
2024-08-21,108166.0122755718,903.1579890058783,UVXY,BUY
2024-08-22,115455.51155580339,1070.4543074753055,UVXY,BUY
2024-08-23,105732.70195738891,9794.401431484943,UVXY,BUY
2024-08-26,105583.2700453407,1034.1383776372786,UVXY,BUY
2024-08-27,102442.73185626313,3296.109576049754,UVXY,BUY
2024-08-28,110914.95086142061,1025.0616747348595,UVXY,BUY
2024-08-29,105469.3076244546,5249.794783993219,UVXY,BUY
2024-08-30,101313.76801490084,4164.993111882915,UVXY,BUY
2024-09-03,130906.93750380629,1038.2712443924315,UVXY,BUY
2024-09-04,135701.7493550778,134851.65859362195,TQQQ,BUY
2024-09-05,128727.30086223964,2520.731291044758,UVXY,BUY
2024-09-06,124799.6750060971,122640.14728364692,TQQQ,BUY
2024-09-09,125817.1211660944,1066.5081331888068,TQQQ,BUY
2024-09-10,129169.30906252572,1272.0026665384553,TQQQ,BUY
2024-09-11,130041.7916952498,128715.32687254135,NUCLEAR_PORTFOLIO,BUY
2024-09-12,131360.81436163347,1109.31075357589,NUCLEAR_PORTFOLIO,BUY
2024-09-13,133933.9721534744,1320.0859303741354,NUCLEAR_PORTFOLIO,BUY
2024-09-16,134224.59783305903,1681.99653920413,NUCLEAR_PORTFOLIO,BUY
2024-09-17,132533.60977726657,1691.534675945011,NUCLEAR_PORTFOLIO,BUY
2024-09-18,131200.83637548698,1359.7096624747135,NUCLEAR_PORTFOLIO,BUY
2024-09-19,132121.62253588473,1322.2826576173977,NUCLEAR_PORTFOLIO,BUY
2024-09-20,138061.8707140167,1345.278845021459,NUCLEAR_PORTFOLIO,BUY
2024-09-23,138361.9526026717,137200.59462951132,UVXY,BUY
2024-09-24,139610.86793877897,1179.78080567508,UVXY,BUY
2024-09-25,142243.24858782868,1407.4782629876981,UVXY,BUY
2024-09-26,142360.15175943423,1409.5676730943785,UVXY,BUY
2024-09-27,152239.09037432188,1424.1642178682964,UVXY,BUY
