date,portfolio_value,cash,signal,action
2024-07-01,93868.69169365204,851.5000000000036,NUCLEAR_PORTFOLIO,BUY
2024-07-02,94110.19435099853,984.4236456270665,NUCLEAR_PORTFOLIO,BUY
2024-07-03,96777.22203902616,954.1385933044783,NUCLEAR_PORTFOLIO,BUY
2024-07-05,92301.37437581902,4713.109482906178,NUCLEAR_PORTFOLIO,BUY
2024-07-08,93925.36267719953,89256.13277701676,UVXY_BTAL_PORTFOLIO,BUY
2024-07-09,93165.69769033506,4662.225993220942,NUCLEAR_PORTFOLIO,BUY
2024-07-10,93448.14392966848,88935.60851451407,UVXY,BUY
2024-07-11,95407.91204884167,1503.8255759315653,UVXY,BUY
2024-07-12,92758.40031722245,2624.3191881672533,UVXY,BUY
2024-07-15,95306.46468422069,919.015237527804,UVXY,BUY
2024-07-16,96312.8497883192,945.5823087238055,UVXY,BUY
2024-07-17,101082.83144048262,1002.4329518874517,UVXY,BUY
2024-07-18,105546.19408648988,979.7379444250715,UVXY,BUY
2024-07-19,112148.55520590954,1078.0651096901531,UVXY,BUY
2024-07-22,109033.73340525085,108110.55816166707,TQQQ,BUY
2024-07-23,111509.14193632186,926.9999262280971,NUCLEAR_PORTFOLIO,BUY
2024-07-24,105308.73120202901,6424.05027666217,NUCLEAR_PORTFOLIO,BUY
2024-07-25,104766.82892666818,98715.66359093146,TQQQ,BUY
2024-07-26,104913.64611067969,902.8233563130925,TQQQ,BUY
2024-07-29,105522.72520890592,1067.9069026347347,TQQQ,BUY
2024-07-30,101427.56676398292,4295.668086098876,TQQQ,BUY
2024-07-31,109977.81130791204,1074.2671520656795,TQQQ,BUY
2024-08-01,110155.9681955661,109217.97174963266,NUCLEAR_PORTFOLIO,BUY
2024-08-02,110677.49096791333,3881.2634426317672,NUCLEAR_PORTFOLIO,BUY
2024-08-05,102344.0866087472,26182.716255798972,NUCLEAR_PORTFOLIO,BUY
2024-08-06,104087.84280678874,77660.40343659278,TQQQ,BUY
2024-08-07,97293.47240099848,938.5181329636398,TQQQ,BUY
2024-08-08,106111.92877702542,1013.7620721636858,TQQQ,BUY
2024-08-09,104926.60338676722,103819.90478396359,NUCLEAR_PORTFOLIO,BUY
2024-08-12,103853.03554596266,895.3850724736112,NUCLEAR_PORTFOLIO,BUY
2024-08-13,105271.8293360959,1043.8488385422038,NUCLEAR_PORTFOLIO,BUY
2024-08-14,104294.66031889642,1050.6206394278558,NUCLEAR_PORTFOLIO,BUY
2024-08-15,105313.16166612218,1047.6883798413378,NUCLEAR_PORTFOLIO,BUY
2024-08-16,105150.04657157045,1051.331198033174,NUCLEAR_PORTFOLIO,BUY
2024-08-19,106126.10723530613,1051.8786615724584,NUCLEAR_PORTFOLIO,BUY
2024-08-20,105908.42054859942,104972.08446320178,UVXY,BUY
2024-08-21,108166.00118050666,903.1578964039072,UVXY,BUY
2024-08-22,115455.49971302261,1070.4541976741339,UVXY,BUY
2024-08-23,105732.69111191959,9794.400426830012,UVXY,BUY
2024-08-26,105583.25921519924,1034.1382715611471,UVXY,BUY
2024-08-27,102442.72134826054,3296.1092379532643,UVXY,BUY
2024-08-28,110914.93948438518,1025.0615695897986,UVXY,BUY
2024-08-29,105469.29680600278,5249.7942454986105,UVXY,BUY
2024-08-30,101313.75762270104,4164.992684661222,UVXY,BUY
2024-09-03,130906.92407610467,1038.2711378923514,UVXY,BUY
2024-09-04,135701.735422967,134851.6447612929,TQQQ,BUY
2024-09-05,128727.28754707977,2520.7310321245154,UVXY,BUY
2024-09-06,124799.6620971139,122640.13459635846,TQQQ,BUY
2024-09-09,125817.10815191857,1066.5080228747538,TQQQ,BUY
2024-09-10,129169.28755269022,1272.0024548189558,TQQQ,BUY
2024-09-11,130041.77052054594,128715.30592901328,NUCLEAR_PORTFOLIO,BUY
2024-09-12,131360.79244952774,1109.3105729238596,NUCLEAR_PORTFOLIO,BUY
2024-09-13,133933.95353976355,1320.0857377052275,NUCLEAR_PORTFOLIO,BUY
2024-09-16,134226.2966763392,1681.9963327853152,NUCLEAR_PORTFOLIO,BUY
2024-09-17,132534.3299886008,1690.5152792488955,NUCLEAR_PORTFOLIO,BUY
2024-09-18,131201.5510485781,1359.724904318794,NUCLEAR_PORTFOLIO,BUY
2024-09-19,132122.33784730642,1322.289829214965,NUCLEAR_PORTFOLIO,BUY
2024-09-20,138062.62423002633,1345.2861966189662,NUCLEAR_PORTFOLIO,BUY
2024-09-23,138362.71546275166,137201.35115331982,UVXY,BUY
2024-09-24,139611.63768532465,1179.7873103151796,UVXY,BUY
2024-09-25,142244.03284804398,1407.4860231394089,UVXY,BUY
2024-09-26,142360.93666419684,1409.5754447661539,UVXY,BUY
2024-09-27,152239.9297467559,1424.1720700183691,UVXY,BUY
