date,symbol,shares,price,trade_value,costs,execution_type
2024-07-01,NLR,270.4833259026815,79.88292136894283,21606.998254694045,32.410497382041065,market_open
2024-07-01,SMR,603.0364825654385,11.760000228881836,7091.709172993655,10.637563759490483,market_open
2024-07-01,OKLO,8439.247619439548,8.65999984741211,73083.8830966195,109.62582464492924,market_open
2024-07-02,NLR,-17.038311028809062,79.54543435532358,-1355.319851467717,2.0329797772015756,market_open
2024-07-02,SMR,2.890264058630919,11.055000305175781,31.9518700502034,0.0479278050753051,market_open
2024-07-02,OKLO,-45.04627788207108,8.0,-360.37022305656865,0.5405553345848529,market_open
2024-07-03,NLR,7.2951516111004935,80.2700267053663,585.5820146427326,0.8783730219640989,market_open
2024-07-03,SMR,17.363166242979673,11.180000305175781,194.12020389533058,0.29118030584299587,market_open
2024-07-03,OKLO,208.28146140177705,8.149999618530273,1697.493830971411,2.5462407464571166,market_open
2024-07-05,NLR,-18.414020136408453,81.44127121784948,-1499.6612081401825,2.2494918122102736,market_open
2024-07-05,SMR,-64.80780234824374,11.989999771118164,-777.0455353221137,1.1655683029831705,market_open
2024-07-05,OKLO,-646.9763792350432,8.329999923706055,-5389.3131896675295,8.083969784501294,market_open
2024-07-08,OKLO,-7955.50642372421,7.820000171661377,-62212.061599176515,93.31809239876478,market_open
2024-07-08,SMR,-558.4821105188054,12.859999656677246,-7182.079749532221,10.773119624298332,market_open
2024-07-08,NLR,-242.32614634856446,81.39163704377927,-19723.321749820097,29.584982624730145,market_open
2024-07-08,UVXY,3104.6077451637807,21.68000030517578,67307.89686260186,100.9618452939028,market_open
2024-07-08,BTAL,1214.8642218941127,18.784205482482538,22820.259177375272,34.23038876606291,market_open
2024-07-09,SMR,976.9225803792399,13.100000381469727,12797.686175634431,19.196529263451648,market_open
2024-07-09,NLR,502.5935569337479,80.94497680167335,40682.42380667272,61.02363571000908,market_open
2024-07-09,BWXT,415.04231564425606,94.59342924116797,39260.27591698544,58.89041387547816,market_open
2024-07-09,UVXY,-3104.6077451637807,21.43000030517578,-66531.74492631092,99.79761738946638,market_open
2024-07-09,BTAL,-1214.8642218941127,18.745553720603066,-22773.302534754734,34.1599538021321,market_open
2024-07-10,BWXT,-415.04231564425606,93.58279557939555,-38840.82018173538,58.261230272603065,market_open
2024-07-10,UVXY,4389.737611196935,21.540000915527344,94554.9521641068,141.8324282461602,market_open
2024-07-10,NLR,-502.5935569337479,81.29238003860998,-40857.026435215,61.2855396528225,market_open
2024-07-10,SMR,-976.9225803792399,13.260000228881836,-12953.993639428554,19.43099045914283,market_open
2024-07-11,UVXY,-84.38591192717013,21.09000015258789,-1779.6988954202864,2.6695483431304297,market_open
2024-07-12,UVXY,-143.6621796668187,21.079999923706055,-3028.398736415984,4.542598104623976,market_open
2024-07-15,UVXY,236.52223707557823,20.84000015258789,4929.123456745479,7.393685185118219,market_open
2024-07-16,UVXY,-63.84347285216427,21.389999389648438,-1365.6118453408303,2.0484177680112454,market_open
2024-07-17,UVXY,169.80067808594958,22.690000534057617,3852.7774764535416,5.779166214680313,market_open
2024-07-18,UVXY,-12.622340162030923,22.170000076293945,-279.8372823552337,0.41975592353285057,market_open
2024-07-19,UVXY,91.15483065988337,24.420000076293945,2226.0009716689137,3.339001457503371,market_open
2024-07-22,TQQQ,1435.5940583087709,72.75155985422961,104441.70705942693,156.6625605891404,market_open
2024-07-22,UVXY,-4582.701452410162,24.770000457763672,-113513.51707399396,170.27027561099095,market_open
2024-07-23,TQQQ,-1435.5940583087709,72.83058467147345,-104555.15461752113,156.8327319262817,market_open
2024-07-23,LEU,202.66215862270178,43.189998626708984,8752.978352600368,13.129467528900554,market_open
2024-07-23,SMR,788.0626327014004,11.180000305175781,8810.540474099285,13.215810711148928,market_open
2024-07-23,OKLO,9808.896409733272,9.010000228881836,88378.158896775,132.5672383451625,market_open
2024-07-24,LEU,-6.441462207913332,43.86000061035156,-282.5225363706353,0.42378380455595294,market_open
2024-07-24,SMR,-56.22252089224742,11.270000457763672,-633.627836192256,0.9504417542883841,market_open
2024-07-24,OKLO,-565.1365944561403,9.170000076293945,-5182.302614279307,7.773453921418961,market_open
2024-07-25,TQQQ,1544.6916303442133,64.76023824892476,100034.59800221128,150.05189700331692,market_open
2024-07-25,LEU,-196.22069641478845,42.189998626708984,-8278.550912271805,12.417826368407708,market_open
2024-07-25,SMR,-731.840111809153,10.489999771118164,-7677.002605373106,11.51550390805966,market_open
2024-07-25,OKLO,-9243.759815277132,8.699999809265137,-80420.70862980378,120.63106294470566,market_open
2024-07-26,TQQQ,81.72667419821346,64.20706877216692,5247.430190765172,7.871145286147757,market_open
2024-07-29,TQQQ,-35.75909949677157,65.46157737780261,-2340.8470586684543,3.5112705880026818,market_open
2024-07-30,TQQQ,-73.72597303218618,65.47145635603097,-4826.946825682693,7.24042023852404,market_open
2024-07-31,TQQQ,201.11733865885344,66.16293017435754,13306.51243453834,19.959768651807508,market_open
2024-08-01,TQQQ,-1718.0505706723225,67.74340515442897,-116386.59588485304,174.57989382727956,market_open
2024-08-01,LEU,188.19849165316032,43.91999816894531,8265.677408805072,12.398516113207608,market_open
2024-08-01,SMR,792.5136423844161,10.3100004196167,8170.815985535289,12.256223978302934,market_open
2024-08-01,OKLO,9024.960607463718,9.119999885559082,82307.63970724432,123.46145956086649,market_open
2024-08-02,LEU,8.735996081657163,39.45000076293945,344.6350520864111,0.5169525781296167,market_open
2024-08-02,SMR,74.80225521816647,8.15999984741211,610.38639116632,0.91557958674948,market_open
