Date,LQQ3_Price,TQQQ_Price,MACD,MACD_Signal,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount
2012-12-13,299.7279968261719,1.0293604135513306,0.009626778115254586,0.008071555236137564,1.0,55000.0,0.0,55000.0,HOLD,0.0
2012-12-14,290.92498779296875,1.0001780986785889,0.004325140642810865,0.007134951587805889,0.0,55000.0,0.0,55000.0,HOLD,0.0
2012-12-17,302.8739929199219,1.039153814315796,0.005452118573428422,0.006714243334211522,0.0,55000.0,0.0,55000.0,HOLD,0.0
2012-12-18,316.9289855957031,1.0873234272003174,0.012246564603623833,0.008097323651564601,1.0,0.0,173.54045385473788,55000.0,BUY,173.54045385473788
2012-12-19,311.84698486328125,1.0717333555221558,0.01478896324555845,0.009770233550063063,1.0,0.0,173.54045385473788,54118.0672864054,HOLD,0.0
2012-12-20,312.71600341796875,1.0725332498550415,0.01636663853859721,0.011419334797196598,1.0,0.0,173.54045385473788,54268.87716079406,HOLD,0.0
2012-12-21,302.635986328125,1.039153814315796,0.012891812119961488,0.011787454127887821,1.0,0.0,173.54045385473788,52519.58642015906,HOLD,0.0
2012-12-24,300.31500244140625,1.0303590297698975,0.009056923277316331,0.011104821415244947,0.0,34397.089203225114,59.00375431061087,52116.80182306835,SELL,114.536699544127
2012-12-27,291.81298828125,1.0003775358200073,-0.001918391440633993,0.006342532904185521,0.0,34397.089203225114,59.00375431061087,51615.15106841716,HOLD,0.0
2012-12-28,283.0530090332031,0.9713959693908691,-0.00906850308595919,0.0024897739066493427,0.0,34397.089203225114,59.00375431061087,51098.279405099354,HOLD,0.0
2012-12-31,300.77099609375,1.0347570180892944,-0.005862289687663669,0.00040175800807108937,0.0,34397.089203225114,59.00375431061087,52143.70716049844,HOLD,0.0
2013-01-02,329.7359924316406,1.1312968730926514,0.008777033385376054,0.002495576852397331,1.0,0.0,163.32081399694817,53852.75068802709,BUY,104.31705968633729
2013-01-03,324.593994140625,1.1149064302444458,0.01681169585530129,0.006074606603123322,1.0,0.0,163.32081399694817,53012.9553415675,HOLD,0.0
2013-01-04,321.8030090332031,1.1039135456085205,0.020713992647981794,0.00973445311433794,1.0,0.0,163.32081399694817,52557.12938197,HOLD,0.0
2013-01-07,321.6400146484375,1.1051130294799805,0.023173977387397793,0.013094334182602906,1.0,0.0,163.32081399694817,52530.50900637315,HOLD,0.0
2013-01-08,319.6809997558594,1.098716378211975,0.023602350034808595,0.01572133814565433,1.0,0.0,163.32081399694817,52210.561099485145,HOLD,0.0
2013-01-09,322.8089904785156,1.1099098920822144,0.02482567540439673,0.01799742246033993,1.0,0.0,163.32081399694817,52721.42709048426,HOLD,0.0
2013-01-10,328.6570129394531,1.1294981241226196,0.027648517422954155,0.020410196200993484,1.0,0.0,163.32081399694817,53676.530879077014,HOLD,0.0
2013-01-11,330.1000061035156,1.1336956024169922,0.029582821115236024,0.022703352429554118,1.0,0.0,163.32081399694817,53912.20169722373,HOLD,0.0
2013-01-14,325.5090026855469,1.1191039085388184,0.028464992827068603,0.02414376252893274,1.0,0.0,163.32081399694817,53162.395281938305,HOLD,0.0
2013-01-15,320.9460144042969,1.1025151014328003,0.024969424021888953,0.024350177902171796,1.0,0.0,163.32081399694817,52417.16432158602,HOLD,0.0
2013-01-16,325.0840148925781,1.1149064302444458,0.023554627960000296,0.02415129041662892,0.0,35041.37071357024,55.529076758962375,53092.985929651884,SELL,107.7917372379858
